,Song_name,pearl-jam
147,fatal   ,"""How good is he? how warm are his eyes you'll see it's not a reprise there he arrived too late and too tethered away to put on his suit and his tie"", ""how good is he? how warm is his heart or ego telling him which place to park did he relate, the message is clearly hardly grounds for dismissal outright grounds for dismissal outright"", ""I wake up and wait up when anger's in fashion I wake up and wait up it echoes through the mansions I wake up and wait up when april's in may, oh uh oh I wake up and wait up the answers are fatal the answers are fatal"", ""when I wait up and wake up the answers are fatal"", ""if he's truly out of sight is he truly out of mind? if he's truly out of sight."""
148,amongst the wave   ,"""What used to be a house of cards Has turned into a reservoir Save the tears that were waterfalling Let's go swim tonight, darling And once outside the undertow Just you and me, and nothing more"", ""If not for love, I would be drowning I've seen it work both ways But I am up riding high amongst the waves Where I can feel like I"", ""Have a soul that has been saved"", ""Where I can feel like I've Put away my early grave I gotta say it now"", ""Better loud than too late Remember back, the early days"", ""When you were young, and less amazed Suddenly the channel changed"", ""The first time you saw blood Cut to later, now you're strong You've bled yourself, the wounds are gone"", ""It's rare when there is nothing wrong Survived and you're amongst the fittest Love ain't love until you feel it Up riding high amongst the waves I can feel like I have a soul that has been saved I can see the light coming through the clouds in rays I gotta say it now better loud than too late I gotta say it now Better loud than too late Hey... yeah... Riding high amongst the waves I can feel like I Have a soul that has been saved I can see the light Coming through the clouds in rays I gotta say it now Better loud than too late I gotta say it now Better loud than too late Say it now Better loud than too late"""
149,history never repeats   ,"""History never repeats I tell myself before I go to sleep... Don't say the words you might regret I lost before, you know I can't forget..."", ""There was a girl I used to know... Well, she dealt my love a savage blow... And I was so young, too blind to see... But anyway, that's history..."", ""And I say, history never repeats I tell myself before I go to sleep... And there's a light shining in the dark Leading me on towards a change of heart..."", ""You say I always play the fool... I can't go on if that's the rule... Better to jump than hesitate... I need a change and I can't wait..."", ""I say... history never repeats I tell myself before I go to sleep... And there's a light shining in the dark Leading me on towards a change of heart... heart..."", ""Never repeats... whoa..."", ""History never repeats History never re... Deep in the night it's all so clear... I lie awake with great ideas... Lurking about in no man's land... I think at last I understand..."", ""History never repeats I tell myself before I go to sleep... And there's a light shining in the dark Leading me on towards a change of heart..."", ""Yeah!"""
150,rats   ,"""They don't eat, don't sleep, they don't feed, they don't seethe. Bare their gums when they moan and squeak. Lick the dirt off a larger one's feet. They don't push, don't crowd. Congregate until they're much too loud. Fuck to procreate till they are dead. Drink the blood of their so-called best friend."", ""They don't scurry when something bigger comes their way. Don't pack themselves together and run as one. Don't shit where they're not supposed to. Don't take what's not theirs, they don't compare."", ""They don't scam, don't fight. Don't oppress an equals given rights. Starve the poor so they can be well-fed. Line their holes with the dead one's bread."", ""They don't scurry when something bigger comes their way. Don't pack themselves together and run as one. Don't shit where they're not supposed to. Don't take what's not theirs, they don't compare."", ""They don't scurry when something bigger comes their way. Don't pack themselves together and run as one. Don't shit where they're not supposed to. Don't take what's not theirs, they don't compare."", ""Rats... they don't compare. Rats... they don't compare. Ben, the two of us need look no more. Ben, the two of us need look no more. Ben, the two of us need look no more. Ben, the two of us need look no more. Ben, the two of us need look no more. Ben, the two of us need look no more."""
151,in the moonlight   ,"""In the moonlight..."", ""Gettin'. Wind out to get back. It's a... Steady shore to her land. It's gettin' closer to the fence. In the moonlight..."", ""Givin'. Two lost wings. A beautiful star sea. A wonderful sense of beauty. In the moonlight... It's a love drawn nearer. Darkened days are spent in."", ""A night bird is followin' you all the time."", ""Under a star-lined ceiling... And darkness, so sleep. Ah,... Your sense is revealed... In the moonlight... It's a love drawn nearer. Darkened days are spent in."", ""A night bird is followin' you all the time."", ""It's a love drawn nearer. Darkened days are spent in."", ""A night bird is followin' you,... it's followin' you. A night bird is followin' you all the time."""
152,cant deny me   ,"""And now you want me to breathe And be so grateful Ahhhhh, for the air that I need (haha) Don't make me pitiful"", ""And in the morning light We're just the same you and me Out on the go, send officials Our propensity to breed"", ""The higher, the farther, the faster you fly You may be rich, but you can't deny me Got nothing, got nothing but the will to survive You can't control, and you can't deny me"", ""Your lies are sick They're sick and they're vile You can't deny me"", ""Try and talk down to me My mind it ain't so simple Where's your vocabulary Your ignorance is sinful"", ""You plant your lying seeds Watch as the roots take hold The country you are now poisoning Condition critical"", ""The higher, the farther, the faster you fly I know it's true, and you can't deny me Got nothing, got nothing, you got nothing to hide Little bullshit whore, and you can't deny me"", ""The higher, the farther, the faster you fly It's all so sick, and you can't deny me"", ""You can't deny me You can't deny me You don't defy me You can't deny me"", ""The higher, the farther, the faster you fly You know you're sick, and you can't deny me Got nothing, just nothing, got something to hide We see right through you, and you can't deny me"", ""Darkness, darkness, darkness and light You can't deny me"""
153,ghost   ,"""The mind is grey like the city Packing in and overgrown Love is deep, dig it out Standing in a hole alone"", ""Working for something One can never hold A place in the clouds Good place to hide, oh my oh"", ""So I'm flying away, away Driving away, away Finding hope in ways I missed before I miss before"", ""The TV, she talks to me Breaking news and building walls Selling me what I don't need I never knew soap made you taller"", ""So I'm riding away, away Hiding away, away So much talk it makes no sense at all My senses have gone, oh"", ""So I'm hiding away, away Driving away, away Passing new friends I won't know at all Won't know at all"", ""It doesn't hurt when I bleed But my memories they eat me I've seen it all before Bring it on, 'cause I'm no victim"", ""Dying (away, away) Dying (away, away) Dying Dying"""
154,state of love and trust   ,"""State of love and trust as I Busted down the pretext Sin still plays and preaches, But to have an empty court, uh huh And the signs are passin', Grip the wheel, can't read it Sacrifice receiving The smell that's on my hands, hands, yeah!"", ""And I listen For the voice inside my head Nothin', I'll do this one myself"", ""Lay her down as priest does, Should the Lord be accountin' Will be in my honor, Make it pain, painfully quick, uh huh Promises are whispered In the age of darkness Want to be enlightened Like I want to be told the end, end, yeah!"", ""And the barrel shakes aimed A directly at my head Oh, help me, help me from myself And I listen From both sides of a friend Nothin', I'll do this one myself Myself, myself!"", ""Yeah, yeah! (Solo: Guitar)"", ""Hey, na na na na! Hey that's something! Wanna back, back it away, yeah!"", ""And I listen, oh! For the voice inside my head Nothin', I'll do this one myself Oh, ah, and the barrel waits, Trigger shakes Aimed right at my head, Don't won't you help me? Help me from myself!"", ""State of love and trust, and a"", ""State of love and... yeah, yeah!"""
155,i got shit   ,"""My lips are shakin' My nails are bit off It's been a month since I've heard myself talk Only advantage this life's got on me Picture a cup in the middle of the sea"", ""And I fought back in my mind Never lets me be right... I got memories, I got shit So much it don't show..."", ""Oh, I walked the line... When you held me in at night Oh, I walked the line... When you held my hand and i..."", ""On empty shells seem so easy to crack Got all these questions Don't know who I could even ask So I'll just lie down and wait for the dream Where I'm not ugly and you're lookin' at me"", ""And I'll stay in bed... Oh, little I've seen there If just once I could be loved... Oh, I'd stare back at me"", ""Oh, I walked the line... When you held me in at night Oh, I walked the line... When you held my hand and i Oh, I walked the line... When you held me close at night Oh, I paid the price... Never held you in your eyes"""
156,mfc   ,"""Sliding out of reverse into drive, this Wheel will be turning right, then straight Off in the sunset she'll ride She can remember a time denied Stood by the side of the road, spilled like wine now She's out on her own and I'm high"", ""There's no leaving here Ask- I'm an ear She's disappeared"", ""They said that timing was everything Made him want to be everywhere There's a lot to be said for nowhere"", ""There's no leaving here Ask- I'm an ear He's disappeared There's no leaving here Ask- I'm an ear Fuck it- we've disappeared"""
157,given to fly live   ,"""He could have tuned in, tuned in, but he tuned out A bad time, nothing could save him Alone in a corridor waiting locked out He got up out of there, ran for hundreds of miles He made it to the ocean, had a smoke and tea The wind rose up, set him down on his knee Wave came crashing like a fist to the jaw, Delivered him wings, \""Hey, look at him now...\"" Arms wide open with the sea as his floor Oh - ah, ohhh..."", ""He's - flying! Woah! Flying! Wide! Oh..."", ""He floated back down 'cause he wanted to share His key to the locks on the chains, he saw everywhere But first he was stripped, and then he was stabbed By faceless men, well... fuckers, he still stands. And he still gives his love, he just gives it away The love he receives is the love that is saved And sometimes is seen a strange spot in the sky A human being that was given to fly"", ""Flying! Woah... High! Flying! Woah... Flying! Woah... Ohh, oahh..."""
158,no more   ,"""I speak for a man who gave for this land took a bullet in the back for his pay spilled his blood in the dirt and the dust and he's come back to say"", ""That what he has seen is hard to believe and it does no good to just pray he asks of us to stand, and we must end this war today"", ""With his mind he's saying NO MORE With his heart he's saying NO MORE With his life he's saying NO MORE WAR"", ""With his eyes he's saying NO MORE With his body he's saying NO MORE With his voice he's saying NO MORE WAR"", ""Nothing's too good for a Veteran yeh, this is the way they say so nothing is what they will get in this new American way"", ""The lies that were told to get us to go were criminal, let us be straight let's get to the point where our voices are heard behind the White House gate"", ""With our minds we're saying NO MORE With our hearts we're saying NO MORE With our lives we're saying NO MORE WAR"", ""With our eyes we're saying NO MORE With our bodies we're saying NO MORE With our voices we're saying NO MORE WAR"", ""No more innocents dying No more terrorizing No more eulogizing No more evangelizing No more Presidents lying"", ""No more war."""
159,this boy   ,"""How come... They do this to us? This boy..."", ""How come... They make such a fuss? Over this boy... This boy..."", ""He's there and I... don't know what to do... This boy... Nothin'... To look up there into This boy..."""
160,ive just seen your face   ,"""I've just seen a face I can't forget the time or place where we just met She's just the girl for me I want all the world to see we've met Da,da,da,da-da,da..."", ""Had it been another day I might have looked the other way Adn I'd have never been aware As it is I'll dream of her tonight Da,da,da,da-da,da..."", ""Oh,yeah,yes I'm fallin' And she keeps callin' me back again (X2)"""
161,dance of the clairvoyants   ,"""Confusion is to commotion What the fear is to our devotion Imperceptibly big, big as the ocean And equally hard to control So save your predictions And burn your assumptions Love is friction"", ""Ripe for comfort Endless equations And tugged persuasions Doors open up To interpretation Expecting perfection Leaves a lot to ignore When the past is the present And the future's no more"", ""When every tomorrow is the same as before The looser things get the tighter you become The looser things get the tighter Not one man can be greater than the sum It's not a negative thought A positive... positive... positive Falling down, not staying down Could have held me up Brother tear me down Drown in the river Expecting perfection Leaves a lot to ignore When the past is the present And the future is no more"", ""When every tomorrow is the same as before Numbers keep falling off the calendars floor We're stuck in our boxes Windows open no more Collecting up The forget me nots Not recalling what they're for I'm in love with clairvoyants Cause they're out of this world I know the girls want to dance Away their circumstance I know the boys wanna grow The dicks and fix and file things I know the girls want to dance Away their circumstance I know the boys wanna grow The dicks and fix and file things"", ""Stand back when the spirit comes Stand back when the spirit comes Stand back when the spirit comes Stand Back Stand back when the spirit comes Stand back when the spirit comes Stand back when the spirit comes Stand Back..."", ""I know the girls want to dance Away their circumstance I know the boys wanna grow The dicks and fix and file things Clairvoyants in a trance I know the boys wanna grow..."""
162,stupid mop   ,"""Don't you want people to love you? My spanking, that's the only thing I want so much Spanking, that's the only thing I want so much That's the only thing I want so much"", ""Don't you want people to love you? My spanking, that's the only thing I want so much That's the only thing I want so much"", ""Why is that better than being hugged? Why is that better than being hugged? Because you get closer to the person Closer to the person"", ""Why is that better than being hugged? Because you get closer to the person Closer to the person Just like a person having sex feels cared for"", ""We wanna be loved, so we have sex together And they feel loved about that And this is the way it makes me feel loved I want it, I dream about it, I think about it, I want it Just like a girl wants sex with a boy, you know?"", ""It's the way I'll always be probably My last one was born in the system See, they're stupid, very stupid, those people over there They're stupid"", ""These people are so below mentality, honest to God, really You know what I mean, he got the nerve to bug me You know what I mean, he got the nerve to bug me"", ""This mentality, honest to G-D, really You know what I mean, he got the nerve to bug me Honest to God, really You know what I mean, he got the nerve to bug me Bug me, bug me, he got the nerve to bug me"", ""Everything seems so eight ball Everything seems so eight ball"", ""And I, I don't know if that's my imagination, but, umm Hey foxymophandlemama, that's me And I don't know if that's my imagination, but, umm Hey foxymophandlemama, that's me Hey foxymophandlemama, that's me"", ""Think they got me Hey foxymophandlemama, that's me, hmm Hey foxymophandlemama, that's me Know if that's my imagination, but, umm"", ""Hey foxymophandlemama, that's me She prides herself on her cleaning habits She prides herself on her cleaning habits"", ""Hey foxymophandlemama, that's me She prides herself on her cleaning habits She prides herself on her cleaning habits"", ""It's a lovely stupid mop, it is There's something really screwey about no streaking Is it any old dumb mop? It streaks Come on mop, no streaking mop"", ""I don't mind mop the floor, my mop streaks, I don't like it It's not me, it's the mop Come, I bought some new mops Go away you stupid, dumb old sponge mop"", ""I don't believe it, now the floor looks beautiful I don't believe it, now the floor looks beautiful I don't believe it, old sponge mop"", ""Dumb old sponge mop Dumb old sponge mop Old sponge mop"", ""Dumb old sponge mop You're right, this mop's stupid Dumb old sponge mop"", ""I don't believe it, now the floor looks beautiful That's why they call me mophandlemama Now the floor looks beautiful"", ""That's why they call me mophandlemama That's why they call me mophandlemama That's why they call me mophandlemama"", ""In two weeks, before she could see herself not dressed The twenty-third of May, you know she disturbed no one today The manager told her to completely forget If you ever go to bed, I'll kill you"", ""Do I tell the whole world that I'm mentally ill? Go to the papers, yeah, why not? Drum roll"", ""I want to show them that I can walk on my own Without hands of theirs And I can still fantasize, but I keep it to myself Keep it to myself, keep it to myself"", ""I think I deserve to be loved, don't you? Very much so Think I deserve to be loved Keep it to myself, keep it to myself"", ""I think I deserve to be loved, don't you? To be loved, don't you? But I keep it to myself Keep it to myself, keep it to myself"", ""I think I deserve to be loved, don't you? And, I can still fantasize, but I keep it to myself Keep it to myself, keep it to myself I think I deserve to be loved, don't you? Very much so"", ""Do you ever think that you would actually, really kill yourself? Well, if I have thought about it real, uhh, real deep Yes, I believe I would I have thought about it real, uhh, real deep Yes, I believe I would"", ""And, I can still fantasize, but I keep it to myself Keep it to myself, keep it to myself That I can walk without hands of theirs"", ""And, I can still fantasize, but I keep it to myself And, I can still fantasize, but I keep it to myself Keep it to myself, keep it to myself I think I deserve to be loved, don't you? Very much so"", ""Do you ever think that you actually would kill yourself? Well, if I have thought about it real, uhh, real deep Yes, I believe I would"""
163,ramblings ii   ,"""but i think your drums are no cheep ones hey everybody uh this is eddie from pearl jam and jeff and me too and mike and it's me mike and i'd talk to you if i could fucking see you if i talk i'd fuck up the song so sorry and he cusses too every time he talkes and dave daves here daves not here and dave is in the house dave is here I am the chief who undress in a green prom dress he's not a quiet percussion one he's the new not quiet hard hitting one i'm not the grinch cuse I didn't have a drink anyway we all thought we'd wish you a merry Christmas and we're very happy right now cause we're on tour with the chilli peppers and that's them playing in the background and a happy new year and god bless everyone everywhere that was mike he's tiny Tim now and this is eddie saying i'm a rhino and my skin is two feet thick so we'll leave you with this song and thank you again bye se you merry Christmas merry christman woo no cheep ones happy happyness is good yes we like that happy (x7) is good you think the slayer tour is out or what the slayer tours not happpering this year we should probley rap this up cuse See ya being paied right now bye merry Christmas bye slayer happy new year that was ment to blow up your speakers this is my it's actually the devil in santa clauses suit after all if you switch the letters around in santa it speels satin you gotta switch em around and change a couple of them i just saw that last night on the news you know those little..."""
164,ofthegirl   ,"""Oh, he deals them off, off the top, ties them off Fills it up with his past, gets carried away Oh, half his life, a hand-me-down, wasted away Oh, he fills it up with the love of a girl"", ""Oh, he left it alone, drilled the pain with money to buy"", ""How he makes his getaway How he makes his getaway"", ""Oh, he chose a path, heavy the fall, quarter to four Fills his mind with the thought of a girl"", ""How he makes his getaway How he makes his getaway How he makes his getaway Getaway"""
165,fucking up   ,"""Pearl Jam Live On Two Legs Fucking Up All right this is Neil Young's song. Let's hear it for Neil."", ""Lonely drifter on the hill. Why do I? One must have a heart of steel. Why do I? It's not how you look but how you feel. Why do I? You must have a heart of steel. Why do I? Why do I keep fucking up?"", ""I can see you on the hill. Why do I? All comatose but walking still. Why do I? Flowing curves beneath your flowing gown. Why do I? Oh, only I can bring myself down. Why do I? Why do I keep fucking up?"", ""Bowman's pick and dogs that bite. Why do I? Oh, dogs that howl through the night. Why do I? Oh, broken leashes all over the floor. Why do I? Keys left hanging in a swinging door. Why do I? Why do I keep fucking up? Good night for music. See ya tomorrow."""
166,pendulum   ,"""Can't know what's high 'Til you been down so low"", ""The future's bright Lit up with no where to go"", ""To and fro the pendulum throws"", ""We are here and then we go My shadow left me long ago"", ""Understand what we don't know This might pass, this might last, this may grow"", ""Easy come easy go Easy left me a long time ago"", ""I'm in the fire, but I'm still cold Nothing works, works for me anymore"", ""To and fro the pendulum throws To and fro the pendulum throws"", ""To and fro To and fro"""
167,daughter remastered   ,"""Alone, listless Breakfast table in an otherwise empty room Young girl, violins/ence"", ""Center of her own attention The mother reads aloud, child Tries to understand it Tries to make her proud The shades go down It's in her head, painted room Can't deny there's something wrong"", ""Don't call me daughter, not fit to The picture kept will remind me Don't call me daughter, not fit to The picture kept will remind me Don't call me..."", ""She holds the hand that holds her down She will rise above..."", ""Don't call me daughter, not fit to The picture kept will remind me Don't call me daughter, not fit to me The picture kept will remind me Don't call me daughter, not fit to The picture kept will remind me Don't call me daughter, not fit to me The picture kept will remind me Don't call me..."", ""The shades go down The shades go down The shades go... Go... Go..."""
168,olympic platinum   ,"""olympic dream, olympic dream... if i could reach to the sky and touch it for my country get some on my finger and take in its smell the smell of victory, land of the free, olympic dream, olympic dream olympic theme my olympic dream my promotion scheme how hard can it be how high can i jump how high can i throw how high can i run (i'm running very fast) how long can i hold my breath and stay underwater and wave my legs around in perfect unison with my partner who doesn't really understand me for my olympic dream, my olympic dream i'll be like dwight stone i'll be like bruce jenner i'll be like that girl who trained all her life as a distance runner and then tripped with a quarter mile to go but i... i will get up and i will run i will run with the georgia peach breeze and i... i will win i will win my... my olympic dream my olympic dream the gold's just not good enough and i don't even think of the bronze i'm living my life for olympic platinum olympic dream, my olympic theme i'll sing like whitney (sing like whitney) my olympic dream"""
169,down   ,"""Down. Fall by the wayside no getting out. Down. Cry me a river dried up and dammed. The names can be changed but the place is still the same. I am loaded. Told that all's for naught. Holds me down. Rise. Life is in motion. I'm stuck in line. Rise. You can't be neutral on a moving train. One day the symptoms fade. Think I'll throw these pills away. And if hope could grow from dirt like me. It can be done. Won't let the light escape from me. Won't let the darkness swallow me. So long."""
170,dont be shy   ,"""Well, don't be shy Just let your feelings roll on by And don't wear fear 'Cause nobody will know you're there"", ""Just lift your head And let your feelings out instead And don't be shy Just let your feelings roll on by"", ""On by, on by, on by On by, on by, on by On by, on by, on by"", ""You know love is better than a song Love is where all of us belong"", ""So don't be shy Just let your feelings roll on by And don't wear fear Or nobody will know you're there"", ""You're there, you're there, you're there You're there, you're there, you're there You're there, you're there, you're there"", ""So don't be shy Just let your feelings roll on by And don't wear fear Or no body will know you're there"", ""Or lift your head And let your feelings out instead And don't be shy Just let your feelings roll on by"", ""On by, on by, on On by, on by, on by On by, on by, on by On by, on by"""
171,untitled the color red   ,"""I got a car, I got some gas Oh let's get out of here, get out of here fast Oh everyone's confused, so I stay in my room If I go, I don't want to go alone"", ""I hope you get this message, oh you're not home I could be there in ten minutes or so Oh I got my things, we'll make it up as we go along Oh with you I could never be alone, never be alone"""
172,force of nature   ,"""Understand she's a force of nature Contraband hiding deep inside her soul Exorcising her will to lose control She lets go"", ""A common man, he don't stand a chance, no Wonderland pulling Alice in the hole No way to save someone who won't take the rope And just let's go"", ""One man stands the edge of the ocean A beacon on dry land Eyes upon the horizon In the dark before the dawn"", ""Hurricane has the trade winds blowing A gale force shaking windows in the storm Shipwreck on the rock that he calls home With one light on"", ""Somewhere there's a siren singing A song only he hears All the strength you might think Would disappear,. resolving"", ""One man stands alone, awaiting For her to come home Eyes upon the horizon In dark before the darkness meets the dawn"", ""Makes me ache,... Makes me shake,... Is it so wrong to think that love can keep us safe?"", ""Last I saw, he was out there waiting A silhouette in the black light, full moon glow In the sand there he stands upon the shore Forevermore"", ""Somewhere there's a siren singing A song only he hears All the strength that you might think Would disappear, resolving"", ""One man stands alone, awaiting For her to come home Eyes are closed,. You cannot know But his heart don't seem to roam."""
173,it aint like that   ,
174,even flow   ,"""Freezin', rests his head on a pillow made of concrete again Oh, feelin' maybe he'll see a little better set a days, oh yeah Oh, hand out faces that he sees time again ain't that familiar, ah Oh, dark grin he can't help when he's happy he looks insane, hey"", ""Evenflow, thoughts arrive like butterflies Oh, he don't know, so he chases them away, oh Oh, someday yeah, he'll begin his life again Life again, life again"", ""Kneelin', lookin' through the paper though he doesn't know to read, oh yeah Oh, prayin' now to something that has never showed him anything Oh, feelin' understands the weather of the winters on its way, yeah Oh, ceilings few and far between all the legal halls of shame, hey"", ""Evenflow, thoughts arrive like butterflies Oh, he don't know, so he chases them away Ah, someday, yeah, he'll begin his life again, yeah Oh, whisperin' hands gently lead him away Him away, him away"", ""Evenflow, thoughts arrive like butterflies, yeah"", ""Oh, he don't know, so he chases them away, yeah Ah someday yeah, he'll begin his life again, yeah Oh, whisperin' hands gently lead him away Him away, him away Yeah"""
175,dock of the bay live   ,"""Sittin' in the mornin' sun I'll be sittin' 'till the evening's done Watchin' the ships roll in Then I watch 'em roll away again Sittin' on the dock of the bay Watchin' the tide roll away Sittin' on the dock of the bay Wastin' time..."", ""I left my home in Georgia Headed for the Frisco Bay I've got nothin' to live for Looks like nothing's gonna come my way, yeah... Sittin' on the dock of the bay Watchin' the tide roll away Sittin' on the dock of the bay Wastin' time..."", ""Looks like nothing's ever gonna change Everything still remains the same I can't do what ten people want me to So I guess I'll remain the same, ohh"", ""**Sittin' here rolling my bones** This loneliness won't leave me alone 2, 000 miles I've roamed Just to make this dock my home, yeah... I'm sittin' on the dock of the bay Watchin' the tide roll away Sittin' on the dock of the bay Wastin' time..."", ""I left my home in Georgia Headed for the Frisco Bay Sittin' here restin' my bones This loneliness won't leave me alone, yeah... 2, 000 miles I've roamed Just to make this dock my home, yeah... Sittin' on the dock of the bay Watchin' the tide roll away Sittin' on the dock of the bay Wastin' time..."""
176,spin in the black circle   ,"""See this needle, a' see my hand... Drop, drop, dropping it down, oh, so gently... Well, here it comes, I touch the plane, Turn me up... won't turn you away."", ""Spin, spin... spin the black circle. Spin, spin... spin the black, spin the black... Spin, spin... spin the black circle. Spin, spin... whoa..."", ""Pull it out, a paper sleeve. Oh, my joy... only you deserve conceit. I'm so big... a-my whole world... I'd rather you... rather you than her..."", ""Spin, spin... spin the black circle. Spin, spin... spin the black, spin the black... Spin, spin... spin the black circle. Spin, spin... whoa... oh..."", ""You're so warm... Oh, the ritual when I lay down your crooked arm..."", ""Spin, spin... spin the black circle. Spin, spin... spin the black, spin the black... Spin, spin... spin the black circle. Spin, spin... Spin the black (5x) circle... Spin the black circle... (4x) Spin, spin... (6x)"""
177,wish you were here pink floyd cover   ,"""Oh, how I wish you were here We were just two lost souls Swimming in a fish bowl Year after year"", ""And now I'm running over That same old ground What have I found? The same old fears Oh, how I wish you were here"", ""So you think you can tell Heaven from hell Blue skies from pain?"", ""Can you tell a green field From a cold steel rail A smile from a veil? Do you think you can tell?"", ""Did they get you to trade All your heroes for ghosts Hot ashes for trees Hot air for a cool breeze Cold comfort for change?"", ""Did you exchange A walk on part in the war For a lead role in a cage?"", ""Oh, how I wish you were here We were just two lost souls Swimming in a fish bowl Year after year"", ""And now I'm running over The same old ground What have I found? The same old fears"", ""Sure do wish you were here Sure do wish you were here God, I wish you were here"""
178,in hiding   ,"""I shut and locked the front door No way in or out I turned and walked the hallway And pulled the curtains down I knelt and emptied the mouth of every plug around But nothing's sound, nothing's sound"", ""I stayed where my last cap left me Ignored all my rounds Soon I was seeing visions and cracks along the walls They're upside down"", ""I swallow my words to keep from lying I swallow my face just to keep from biting, I, I. I swallowed my breath and went deep, I was diving, diving I surfaced and all of my being was enlightened"", ""Now... I'm in hiding, yeah I'm in hiding, yeah I'm in hiding, yeah I'm in hiding"", ""It's been about three days now Since I've been aground No longer overwhelmed and it seems so simple now It's funny when things change so much It's all state of mind"", ""I swallowed my words to keep from lying I swallowed my face just to keep from biting, I, I I swallowed my breath and went deep, I was diving, I was diving I surfaced and all of my being was enlightened"", ""Now I'm in hiding, yeah I'm in hiding, yeah I'm in hiding, yeah Now I'm in hiding, yeah I'm in hiding, yeah I'm in hiding, yeah I'm in hiding, yeah I'm in hiding..."""
179,river cross   ,
180,low light live   ,"""clouds roll by reeling is what they say ... or is it just my way? wind blows by ... low light ... sidetracked ... low light can't see my tracks, your scent way back"", ""can I be here all alone? ... clear a path to my home blood runs dry ... books and jealousy tell me wrong I will feel calm voice blows by ... low light ... car crash ... low light can't wear my mask, your first, my last"", ""voice blows by two birds is what they'll see ... getting lost upon their way wind blows by ... low light ... eye sight ... low light I need the light, I'll find my way from wrong what's real, the dream I see"""
181,immortality   ,"""Vacate is the word... vengeance has no place on me or her Cannot find the comfort in this world Artificial tear... vessel stabbed, next up, volunteers Vulnerable, wisdom can't adhere..."", ""A truant finds home... and a wish to hold on... But there's a trapdoor in the sun... Immortality..."", ""As privileged as a whore... victims in demand for public show Swept out through the cracks beneath the door Holier than thou, how? Surrendered... executed, anyhow Scrawl dissolved, cigar box on the floor..."", ""A truant finds home... and a wish to hold on too... He saw the trapdoor in the sun..."", ""I cannot stop the thought... I'm running in the dark... Coming up a which way sign... all good truants must decide... Oh, stripped and sold, mom... Auctioned forearm... And whiskers in the sink... Truants move on... cannot stay long Some die just to live... Ohh..."""
182,leatherman   ,"""I know about a man to whom I may be related, he's leatherman. Died a long time ago in the 1880's... leatherman, leatherman. Covered with leather, but it wasn't tight. Underneath the moon in the woods at night..."", ""Makin' the rounds ten miles a day, Once a month they'd spot him, here's what they'd say... \""Here he comes, he's a man of the land. He's leatherman. Smile on his face, an axe in his pack. He's leatherman.\"""", ""Comes out of the caves once a day to be fed. Wasn't known to say but \""Thanks for the bread.\"""", ""So modern day I walk my way, my jacket faded, Just like a man of leather whom I may be related."", ""Rolled a cigarette, but when he asked for a light, I thought he'd be an animal, but so polite."", ""Makin' the rounds ten miles a day. Once a month they'd spot him and here's what they'd say... \""Here he comes, he's a man of the land, he's leatherman. Smile on his face, an axe in his hand. He's leatherman.\"""", ""Shake his hand he's leatherman. Bake some bread he's leatherman. Shame he's dead. I saw his bed, It's all that's left of leatherman."", ""Give me some skin, leatherman."""
183,thumbing my way   ,"""I have not been home since you left long ago I'm thumbing my way back to heaven Calm steps walking backwards on the road I'm counting my way back to heaven"", ""I can't be free with what's locked inside of me If there was a key you took it in your hand There's no wrong or right but I'm sure there's good and bad The questions linger overhead"", ""No matter how cold the winter, there's a springtime ahead I'm thumbing my way back to heaven I wish that I could hold you, I wish that I had Thinking 'bout heaven"", ""I let go of the rope thinking that's what held me back And in time I've realized it's now wrapped around my neck I can't see what's next from this lonely overpass Hang my head and count my steps as another car goes past"", ""All the rusted signs we ignored throughout our lives Choosing the shiny ones instead I turned my back, now there's no turning back Mmmmmmm"", ""No matter how cold the winter, there's a springtime ahead I smile, but who am I kidding? I'm just walking the mile, every once in a while get a ride I'm thumbing my way back to heaven I'm thumbing my way back to heaven I'm thumbing my way back to heaven"""
184,love youhate you   ,"""Doctor said I, I'd be alright Oh, everything that I believed, it wasn't true I found it out when I got close to you I thought you were different, like a dream Things they ain't never what they seem, whoa Thought I could trust you with my soul But you can't do that anymore The doctor said I'd be alright, but I still feel blue The doctor said I'd be alright, but I still love you Love you, hate you... Love you, want you, hate you... Ah, yeah..."", ""I'm different Me myself, I'm different than all the rest I can only speak for myself, but people can trust me"""
185,just breathe   ,"""Yes, I understand that every life must end, uh-huh As we sit alone, I know someday we must go, uh-huh Oh I'm a lucky man, to count on both hands the ones I love Some folks just have one, yeah, others, they've got none, uh-huh"", ""Stay with me... Let's just breathe..."", ""Practiced are my sins, never gonna let me win, uh-huh Under everything, just another human being, uh-huh I don't wanna hurt, there's so much in this world to make me bleed"", ""Stay with me You're all I see..."", ""Did I say that I need you? Did I say that I want you? Oh, if I didn't I'm a fool you see No one knows this more than me"", ""As I come clean... I wonder everyday, as I look upon your face, uh-huh Everything you gave And nothing you would take, oh no"", ""Nothing you would take Everything you gave..."", ""Did I say that I need you? Oh, did I say that I want you? Oh, if I didn't I'm a fool you see No one knows this more than me And I come clean, ah..."", ""Nothing you would take Everything you gave Hold me 'til I die Meet you on the other side..."""
