,Song_name,linkin-park
55,darker than the light that never bleeds chester   ,
56,burning in the skies   ,"""I used the deadwood to make the fire rise The blood of innocence burning in the skies I filled my cup with the rising of the sea And poured it out in an ocean of debris"", ""I'm swimming in the smoke Of bridges I have burned So don't apologize I'm losing what I don't deserve What I don't deserve"", ""We held our breath when the clouds began to form But you were lost in the beating of the storm And in the end we were made to be apart In separate chambers of the human heart"", ""I'm swimming in the smoke Of bridges I have burned So don't apologize I'm losing what I don't deserve"", ""It's in the blackened bones Of bridges I have burned So don't apologize I'm losing what I don't deserve What I don't deserve"", ""I'm swimming in the smoke Of bridges I have burned So don't apologize I'm losing what I don't deserve"", ""The blame is mine alone For bridges I have burned So don't apologize I'm losing what I don't deserve What I don't deserve What I don't deserve What I don't deserve And here's the dead wood to make the fire rise The blood of innocence burning in the skies"""
57,figure09   ,"""Nothing ever stops all these thoughts and the pain attached to them Sometimes I wonder why this is happening It's like nothing I can do would distract me when I think of how I shot myself in the back again 'Cause from the infinite words I could say I Put all pain you gave to me on display But didn't realize instead of setting it free I Took what I hated and made it a part of me"", ""(Never goes away) (Never goes away)"", ""(And now) (You've become a part of me) (You'll always be right here) (You've become a part of me) (You'll always be my fear) (I can't separate) (Myself from what I've done) (Giving up a part of me) (I've let myself become you)"", ""Hearing your name the memories come back again I remember when it started happening I see you in every thought I had and then The thoughts slowly found words attached to them And I knew as they escaped away I was committing myself to them and everyday I regret saying those things cuz now I see that I Took what I hated and made it a part of me"", ""(Never goes away) (Never goes away)"", ""(And now) (You've become a part of me) (You'll always be right here) (You've become a part of me) (You'll always be my fear) (I can't separate) (Myself from what I've done) (Giving up a part of me) (I've let myself become you)"", ""(Never goes away) (Never goes away) (Never goes away) (Never goes away)"", ""(Get away from me) Give me my space back you gotta just (Go) Everything comes down the memories of (You) I've kept it in but now I'm letting you (Know) I let you go so get away from (Me) Give me my space back you gotta just (Go) Everything comes down the memories of (You) I've kept it but now I'm letting you (Know) I let you go"", ""(And now) (You've become a part of me) (You'll always be right here) (You've become a part of me) (You'll always be my fear) (I can't separate) (Myself from what I've done) (Giving up a part of me) (I've let myself become you)"", ""I've let myself become you I've let myself become lost inside these thoughts of you Giving up a part of me, I've let myself become you"""
58,chance of rain   ,"""She had never really understood She demanded her respect 20 years of falling underfoot 20 reasons to regret You would look for what you couldn't see Scared to be what she became She would tell you what you couldn't be And why you had yourself to blame"", ""Alone again, you try to disappear And hold it in, pretending not to hear"", ""This voice without a sound Voice that tears you down You're trying not to fear Saying this is in your head But it whispers in your ear"", ""Saying this is what you get"", ""She was ready with your penalty When eventually you'd fall"", ""She was there inside your memory Saying this was all your fault Alone again you try to disappear And hold it in pretending not to hear This voice without a sound Voice that tears you down You're trying not to fear Saying this is in your head But it whispers in your ear Saying this is what you get Alone again, its all becoming clear You hold it in, pretending not to hear This voice without a sound Voice that tears you down Your trying not to fear Saying this is in your head But it whispers in your ear Saying this is what you get This voice without a sound Voice without a sound This voice without a sound Voice without a sound"""
59,forgotten sweet child omine live   ,"""From the top to the bottom bottom to top I stop at the core I've forgotten in the middle of my thoughts taken far from my safety the picture's there the memory won't escape me but why should I care? From the top to the bottom bottom to top I stop at the core I've forgotten in the middle of my thoughts taken far from my safety the picture's there the memory won't escape me but why should I care?"", ""Theres a place so dark you can't see the end skies cock back [back] and shock that which can't defend the rain then sends dripping acidic questions forcefully the power of suggestion then with the eyes shut looking through the rust, and rot, and dust a small spot of light floods the floor and pours over the rusted world of pretend and the eyes ease open and it's dark again"", ""From the top to the bottom bottom to top I stop at the core I've forgotten in the middle of my thoughts taken far from my safety the pictures there the memory won't escape me but why should I care?"", ""In the memory you'll find me eyes burning up the darkness holding me tightly until the sun rises up"", ""Moving all around screaming of the ups and downs pollution manifested in perpetual sound the wheels go round and the sunset creeps behind street lamps chain link and concrete a little piece of paper with a picture drawn floats on down the street till the wind is gone the memory now is like the picture was then when the papers crumpled up can be perfect again"", ""From the top to the bottom bottom to top I stop at the core I've forgotten in the middle of my thoughts taken far from my safety the pictures there the memory won't escape me but why should I care? From the top to the bottom bottom to top I stop at the core I've forgotten in the middle of my thoughts taken far from my safety the picture's there the memory won't escape me but why should I care?"", ""In the memory you'll find me eyes burning up the darkness holding me tightly until the sun rises up"", ""Now you got me caught in the act you bring the thought back Now you got me caught in the act you bring the thought back Now you got me caught in the act you bring the thought back"", ""Now you got me caught in the act you bring the thought back I'm telling you that I see it right through you (7x)"", ""In the memory you'll find me eyes burning up the darkness holding me tightly until the sun rises up in the memory you'll find me eyes burning up the darkness holding me tightly until the sun rises up"", ""Oooh, she's got eyes of the bluest skies As if they thought of rain"", ""Oooh, she's got eyes of the bluest skies As if they thought of rain I hate to look into those eyes And see an ounce of pain"""
60,pb n jellyfish   ,"""A-one, a-two, a-one, two, three, four Uh, this song's about jellyfish And their bellyfish Ain't no foolyfish I don't droolyfish Goes like this:"", ""Jelly, jelly, jellyfish When you squeeze me, I go squish Peanut butter jellyfish Put me onto your sandwich"", ""Said jelly, jelly, jellyfish When you squeeze me, I go squish 'Cause I'm a jellyfish I'm a jellyfish"", ""My friends are fish and they go to school They think I'm crazy and they think I'm cool 'Cause I'm a jellyfish I'm a jellyfish"", ""Jelly, jelly, jellyfish When you squeeze me, I go squish 'Cause I'm a jellyfish I'm a jellyfish"", ""Got no eyes, I got no head I've got no house, I got no bed 'Cause I'm a jellyfish I'm a jellyfish Jellyfish"""
61,good goobye   ,"""[Chorus: Chester Bennington]"", ""Pack it up and disappear You better have some place to go 'Cause you can't come back around here Good goodbye"", ""Live from the rhythm, it's Something wild, venomous Enemies trying to read me You're all looking highly illiterate Blindly forgetting if I'm in the mix You won't find an equivalent I've been here killing it Longer than you've been alive, you idiot And it makes you so mad Somebody else could be stepping in front of you And it makes you so mad that you're not the only one There's more than one of you And you can't understand the fact That it's over and done, hope you had fun You've got a lot to discuss on the bus Headed back where you're from"", ""[Chorus: Chester Bennington]"", ""Pack it up and disappear You better have some place to go 'Cause you can't come back around here Good goodbye Good goodbye Good goodbye Good goodbye Good goodbye"", ""[Verse 2: Pusha T] Goodbye, good riddance A period is after every sentence Did my time with my cellmate Maxed out so now we finished Every day was like a hail date Every night was like a hailstorm Took her back to my tinted windows Showin' out, she in rare form"", ""Make way for the new queen The old lineup, where they cheer for 'em Consequence when you ain't there for him Were you there for him? Did you care for him?"", ""[Chorus: Chester Bennington]"", ""Pack it up and disappear You better have some place to go 'Cause you can't come back around here Good goodbye Good goodbye"", ""Good goodbye Good goodbye"", ""[Verse 3: Stormzy] Yo Let me say goodbye to my demons Let me say goodbye to my past life Let me say goodbye to the darkness Tell 'em that I'd rather be here in the starlight Tell 'em that I'd rather be here where they love me Tell 'em that I'm yours this is our life And I still keep raising the bar like"", ""Goodbye to the stereotypes You can't tell my kings we can't Mandem we're linking tings in parks Now I got a tune with Linkin Park Like goodbye to my old hoe's Goodbye to the cold roads I can't die for my postcode"", ""And now I'm inside with my bro bro's Gang"", ""[Chorus: Chester Bennington]"", ""Pack it up and disappear You better have some place to go 'Cause you can't come back around here Good goodbye Good goodbye"", ""Good goodbye Good goodbye"""
62,leave out all the rest   ,"""I dreamed I was missing You were so scared But no one would listen 'Cause no one else cared"", ""After my dreaming I woke with this fear What am I leaving When I'm done here?"", ""So if you're asking me I want you to know"", ""When my time comes Forget the wrong that I've done Help me leave behind some Reasons to be missed And don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest Leave out all the rest"", ""Don't be afraid I've taken my beating I've shared what I've made I'm strong on the surface Not all the way through I've never been perfect But neither have you"", ""So if you're asking me I want you to know"", ""When my time comes Forget the wrong that I've done Help me leave behind some Reasons to be missed Don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest Leave out all the rest"", ""Forgetting all the hurt inside You've learned to hide so well Pretending someone else can come And save me from myself I can't be who you are"", ""When my time comes Forget the wrong that I've done Help me leave behind some Reasons to be missed Don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest Leave out all the rest"", ""Forgetting all the hurt inside You've learned to hide so well Pretending someone else can come And save me from myself I can't be who you are I can't be who you are"""
63,crawling one more light live   ,"""There's something inside me that pulls beneath the surface Consuming Confusing This lack of self-control I fear is never-ending Controlling I can't seem To find myself again My walls are closing in I've felt this way before"", ""So insecure"", ""Crawling in my skin These wounds they will not heal"", ""Fear is how I fall Confusing what is real"", ""Discomfort endlessly has pulled itself upon me Distracting Reacting Against my will I stand beside my own reflection It's haunting How I can't seem To find myself again My walls are closing in I've felt this way before"", ""So insecure"", ""Crawling in my skin These wounds they will not heal Fear is how I fall Confusing what is real"", ""Crawling in my skin These wounds they will not heal Fear is how I fall Confusing, confusing what is real."""
64,symphonies of light reprise   ,
65,powerless   ,"""You hid your skeletons when I had shown you mine You woke the devil that I thought you'd left behind I saw the evidence, the crimson soaking through Ten thousand promises, ten thousand ways to lose"", ""And you held it all But you were careless to let it fall You held it all And I was by your side Powerless"", ""I watched you fall apart and chased you to the end I'm left with emptiness that words cannot defend You'll never know what I became because of you Ten thousand promises, ten thousand ways to lose"", ""And you held it all But you were careless to let it fall You held it all And I was by your side Powerless"", ""And you held it all But you were careless to let it fall You held it all And I was by your side Powerless Powerless Powerless"""
66,new divide   ,"""I remembered black skies The lightning all around me I remembered each flash As time began to blur Like a startling sign That fate had finally found me And your voice was all I heard That I get what I deserve"", ""So give me reason To prove me wrong To wash this memory clean Let the thoughts cross The distance in your eyes Give me reason To fill this hole Connect this space between Let it be enough to reach the truth that lies Across this new divide"", ""There was nothing inside But memories left abandoned There was nowhere to hide The ashes fell like snow And the ground caved in Between where we were standing And your voice was all I heard That I get what I deserve"", ""So give me reason To prove me wrong To wash this memory clean Let the thoughts cross The distance in your eyes Across this new divide"", ""In every loss in every lie In every truth that you denied And each regret and each goodbye Was a mistake too great to hide And your voice was all I heard That I get what I deserve"", ""So give me reason To prove me wrong To wash this memory clean Let the thoughts cross The distance in your eyes Give me reason To fill this hole Connect this space between Let it be enough to reach the truth that lies Across this new divide Across this new divide Across this new divide"""
67,session   ,"""When this began, I had nothing to say And I'd get lost in the nothingness inside of me (I was confused) And I'd let it all out to find That I'm not the only person with these things in mind (Inside of me)"", ""When all the vacancy the words revealed Is the only real thing that I've got left to feel (Nothing to loose) Just stuck, hollow and alone And the fault is my own and the fault is my own"", ""I wanna heal, I wanna feel What I thought was never real I want to let go of the pain I felt so long (Erase all the pain till it's gone)"", ""I wanna heal, I wanna feel Like I'm close to something real I want to find something I've wanted all along Somewhere I belong"", ""And I've got nothing to say I can't believe I didn't fall right down on my face (I was confused) Looking everywhere only to find That it's not the way I had imagined it all in my mind (So what am I)"", ""What do I have but negativity 'Cause I can't justify the way everyone is looking at me (Nothing to loose) Nothing to gain, hollow and alone And the fault is my own and the fault is my own"", ""I wanna heal, I wanna feel What I thought was never real I want to let go of the pain I felt so long (Erase all the pain 'til it's gone)"", ""I wanna heal, I wanna feel Like I'm close to something real I want to find something I've wanted all along Somewhere I belong"", ""I will never know myself until I do this on my own And I will never feel anything else, until my wounds are healed I will never be anything till I break away from me I will break away, I'll find myself today"", ""I wanna heal, I wanna feel What I thought was never real I want to let go of the pain I felt so long (Erase all the pain till it's gone)"", ""I wanna heal, I wanna feel Like I'm close to something real I want to find something I've wanted all along Somewhere I belong"", ""I wanna heal I wanna feel like I'm somewhere I belong I wanna heal I wanna feel like I'm somewhere I belong Somewhere I belong"""
68,until its gone   ,"""A fire needs a space to burn"", ""A breath to build a glow I've heard it said a thousand times"", ""But now I know That you don't know what you've got"", ""Oh you don't know what you've got No you don't know what you've got Until it's gone Until it's gone"", ""Until it's gone"", ""I thought I kept you safe and sound"", ""I thought I made you strong But something made me realize That I was wrong 'Cause finding what you got sometimes Means finding it alone And I can finally see your light When I let go 'Cause you don't know what you've got Until it's gone Until it's gone Until it's gone Until it's gone Until it's gone Until it's gone Until it's gone Until it's gone 'Cause you don't know what you've got Oh you don't know what you've got No you don't know what you've got It's your battle to be fought No you don't know what you've got 'Til it's gone 'Til it's gone 'Til it's gone"""
69,plc 4 mie hu00e6d   ,
70,until it breaks   ,"""It goes a one Two, three"", ""I was born with the hunger of a lion, the strength of a Sun I don't need to sweat it when a competition come Original style, like an 808 drum So I don't run the track, no, I make the track run My momma taught me words, my daddy built rockets I hold 'em both together now, tell me what I got It's a pretty smart weapon, I can shoot it, I can drop it But learn to respect it 'cause you clearly can't stop it"", ""Like that..."", ""It ain't over 'Cause the shark's on the left side, the snake's on the right And anything you do, they wanna get a little bite It really doesn't matter if you're wrong or if you're right 'Cause once they get their teeth in nothing really fights And as for me I do it like I got nothing to lose And you can run your mouth like you could try to fill my shoes But steady little soldier, I ain't standing next to you I'll be laying on the ground before you're even in my view Like that"", ""Give me the strength of the rising Sun Give me the truth of the words unsung And when the last bells ring, the promising Bring me to kingdom come"", ""It's something for your people on the block to Blackout and rock to, give you what you need Like Papa, who shot you Separate the weak from the obsolete The meek, I creep hard on impostors And switch styles on the dime, quick-witted y'all Quit tripping, I don't have time for your crying I grind tough, sucker, make your mind up Are you in the firing squad or are you in the line-up? Bang, bang, little monkey man playing With the big guns only get you slayed I ain't playing, I'm just saying You ain't got a sliver of a chance I get iller, I deliver while you quiver in your pants So shake, shake down, Money, here's the break down You can play the bank, Imma play the bank take down And no mistakes now I'm coming to get you I'm just a Banksy, you're a Brainwash, get the picture? It's like that"", ""We swim against the rising waves And crash against the shore The body bends until it breaks The early morning sings no more"", ""So rest your head It's time to sleep And dream of what's in store The body bends until it breaks And sings again no more"", ""'cause time has torn the flesh away The early morning sings no more"""
71,106310901086 105710761077108310721083 1071 what ive done   ,"""[Russian translation]"", ""?"""
72,scom   ,"""Ugh, Shinoda, that's right, Ryu Celph Titled, yeah, Demigodz Dipset, Juelz Santana And of course, Fort Minor Let's go"", ""It's like oh, ohhh, ohhhh F.M. D.E.M.I.G.O.D.Z. It's like oh, ohhh, ohhhh D.I.P.S.E.T. S.O.B. G's"", ""I came from pumping 60K out the trunk switchblades Ziggy stuff nicknames, itchy braids, bitchmade Faggots, my shit's changed, my cabbage is picked man Rollin' twenties up like Snoop Doggy dog's crip game But I'm out for the crown, housin, I'm buckin' 'em down Dousin' and dunkin' these fuckin punks in a bucket and bounce When I get up in the game beware Put a pimp on a hope and then say your prayers Got this ocean so damn potent player Put you on a throne like a broken chair You know its a move no crack for the gods and goons We back you talk about gats but dont actually use 'em But I'm happy to do it because this is demigodz Celph Titled, Ryu with Tak, Apathy stupid"", ""From bottom to top choppin them rocks Cockin the glock, o more of that Now I just hop in the drop and go To the most popular spots With ho's and they know, they go I went from pumpin' that white stuff To bein up in them white clubs Like hey, I got dubs still pumpin that white stuff Plus I fuck with the white boys, skaters and bike boys Who may act different but the struggles alike, boy Shinoda know that if there's a problem I'm coming over, yo Quick fast in a hurry, not needing to overdose And I mean that, just call if you need that The best of both different worlds, not often they see that"", ""Like oh, ohhh, ohhhh F.M. D.E.M.I.G.O.D.Z. Like oh, ohhh, ohhhh D.I.P.S.E.T. S.O.B. G's"", ""We like these rappers here that you have to fear We smacking queers murder extortion Hustlin', nothin' stopin' this movement I swear we gettin' to the top this year Got your ears, all eyes on me, old school 80's guy, that's me Hip hop head female rappers give me dome That's just that hip hop head, flip off the feds, it's been said I'm out my mind to the fullest, alone in the crib buggin Fuckin with russian roulette with six bullets Won't never free my guns but fo sho we lettin them triggers go Sparkin that weapon, yous a thousand miles from me You far from perfection and that's just room for thought I'm movin the bar, rap entrepenuer, rap lord Cme to the hood, I'll bring you in through that trap door It's Demigodz and it's Dipset, it's Doe Rakers and it's Byrd Gang That's Ryu, Celph and Santana, the best rap singers you ever heard"", ""Like oh, ohhh, ohhhh F.M. D.E.M.I.G.O.D.Z. Like oh, ohhh, ohhhh D.I.P.S.E.T. S.O.B. G's"", ""[In the background] (When my situation ain't a groovin' I'm trying to murder everything movin')"", ""Demigodz, Celph Titled the Rubik's Cuban Ryu the Beast, Shinoda the Cobra Holder You a fool for this beat, Santana the Great This has been a Demigodz Dipset Feature Presentation"", ""We'll slap the beeswax right out your grill! Hold up!"""
73,part of me   ,"""Part of me won't go away Everyday reminded how much I hate it Weighted against the consequences Can't live without it so it's senseless Wanna cut it out of my soul And just live with a gaping hole Take control of my life And wash out all the burnt taste I made the problems in the first place Hang my head low cause it's part of me You hardly see right next to the heart of me Hurting me, the routine scar New cuts cover where the old ones are And I'm sick of this I can't stand the sandpaper thoughts that grate on my sanity I rather not even be then the man that's staring in the mirror through me"", ""Cut myself free willingly Stop just what's killing me Cut myself free willingly Stop just what's killing me Cut myself free willingly Stop just what's killing me Cut myself free willingly Stop just what's killing me"", ""I feel it everyday I feel I made my way I feel it swell up inside, swell up inside Swallowing me"", ""(freedom can be frightening if you've never felt it) Once it's been dealt with you feel like you've been touched by something angelic And then melted down into a pool of peace Cease to be the animal you used to be Remove the broken parts you know were wrong And feel the calm when the problem's all gone And then you start to see another piece of yourself that you can't let be And that reason will last fight to free yourself Take it to the depths of the bottom of the well And now you know you can choose to lose the part in your heart Where your insides bruise You can live if you're willing to Put a stop to just what's killing you"", ""Cut myself free willingly Stop just what's killing me Cut myself free willingly Stop just what's killing me Cut myself free willingly Stop just what's killing me Cut myself free willingly Stop just what's killing me"", ""I feel it everyday I feel I made my way I feel it swell up inside, swell up inside Swallowing me"", ""Alive in me, inside of me, a part of me screams away silently This part of me won't go away, part of me won't go away"", ""Everywhere I look around I see how everything ought to be Every time I see myself there's always something wrong with me"", ""Everywhere I look around I see how everything ought to be Every time I see myself there's always something wrong with me"", ""I feel it everyday I feel I made my way I feel it swell up inside, swell up inside Swallowing me I feel it everyday I feel I made my way I feel it swell up inside, swell up inside Swallowing me"", ""I feel it swell up inside, swell up inside, swallowing me I feel it swell up inside, swell up inside, swallowing me"""
74,cure for the itch   ,"""Folks, we have a very special guest for you tonight. (Meow.) I would like to introduce... MR. HAHN! (insert battos here) Let's hear it for the great... Mr. Hahn! And now for a lesson in rhythm management (insert battos here) Let's begin Alright now! Wasn't that fun?! Let's try something else! (insert wubs here)"""
75,good goodbye   ,"""So say goodbye and hit the road Pack it up and disappear You better have some place to go 'Cause you can't come back around here Good goodbye (Don't you come back no more)"", ""Live from the rhythm, it's Something wild, venomous Enemies trying to read me You're all looking highly illiterate Blindly forgetting if I'm in the mix You won't find an equivalent I've been here killing it Longer than you've been alive, you idiot And it makes you so mad Somebody else could be stepping in front of you And it makes you so mad that you're not the only one There's more than one of you And you can't understand the fact That it's over and done, hope you had fun You've got a lot to discuss on the bus Headed back where you're from"", ""So say goodbye and hit the road Pack it up and disappear You better have some place to go 'Cause you can't come back around here Good goodbye Good goodbye Good goodbye Good goodbye Good goodbye"", ""Goodbye, good riddance A period is after every sentence Did my time with my cellmate Maxed out so now we finished Every day was like a hail date Every night was like a hailstorm Took her back to my tinted windows Showin' out, she in rare form Wings up, now I'm airborne King Push, they got a chair for him Make way for the new queen The old lineup, where they cheer for 'em Consequence when you ain't there for him Were you there for him? Did you care for him? You were dead wrong"", ""(Don't you come back no more) So say goodbye and hit the road Pack it up and disappear You better have some place to go 'Cause you can't come back around here Good goodbye Good goodbye (Don't you come back no more) Good goodbye Good goodbye (Don't you come back no more)"", ""Yo Let me say goodbye to my demons Let me say goodbye to my past life Let me say goodbye to the darkness Tell 'em that I'd rather be here in the starlight Tell 'em that I'd rather be here where they love me Tell 'em that I'm yours this is our life And I still keep raising the bar like Never seen a young black brother in the chart twice Goodbye to the stereotypes You can't tell my kings we can't Mandem we're linking tings in parks Now I gotta tune with Linkin Park Like goodbye to my old hoe's Goodbye to the cold roads I can't die for my postcode Young little Mike from the Gold Coast And now I'm inside with my bro bro's Gang"", ""So say goodbye and hit the road Pack it up and disappear You better have some place to go 'Cause you can't come back around here Good goodbye Good goodbye (Don't you come back no more) Good goodbye Good goodbye (Don't you come back no more)"""
76,devils drop   ,"""Landing in the devil's drop I walked out in the snow Climbed up to the mountaintop A push from death below"", ""Brother fell protecting us Somewhere far from home Lay him down to rest with us In fields of earth and coal"", ""Oh oh oh oh oh oh oh oh"", ""Sailing out away from this To ports of foreign shores Let us not forget to miss The ones we cannot hold"", ""Oh oh oh oh oh oh oh oh"", ""Landing in the devil's drop I walked out in the snow Climbed up to the mountaintop A push from death below"", ""Brother fell protecting us Somewhere far from home Lay him down to rest with us In fields of earth and coal"""
77,darker than blood   ,
78,skin to bone   ,"""\""Skin To Bone\"""", ""Skin to bone, steel to rust, ash to ashes, dust to dust. Will tomorrow, have it's way, with the promises we made? Skin to bone, steel to rust."", ""Ash to ashes, dust to dust, your deception, my disgust. When your name is finally drawn, I'll be happy, that you're gone. Ash to ashes, dust to dust."", ""(Aaah, aaah, aaah, aaah) ash to ashes, dust to dust. (Aaah, aaah, aaah, aaah) skin to bone and steel to rust."", ""Right to left, left to right, night to day and day to night. As the starlight, fades to gray, I'll be watching far away. Right to left and left to right."", ""(Aaah, aaah, aaah, aaah) ash to ashes, dust to dust. (Aaah, aaah, aaah, aaah) skin to bone and steel to rust."", ""Will tomorrow have it's way, will the darkness, it betray? Skin to bone and steel to rust, skin to bone and steel to rust, skin to bone and steel to rust."""
79,nobody can save me one more light live   ,"""This one's called \""Nobody Can Save Me\"" I'm dancing with my demon I'm hanging off the edge Storm clouds gather beneath me Waves break above my head Headfirst hallucination I wanna fall wide awake now You tell me it's alright Tell me I'm forgiven tonight But nobody can save me now I'm holding up a light I'm chasing out the darkness inside 'Cause nobody can save me Stared into this illusion For answers yet to come I chose a false solution Nobody proved me wrong no Headfirst hallucination I wanna fall wide awake Watch the ground giving way now You tell me it's alright Tell me I'm forgiven tonight But nobody can save me now I'm holding up a light Chasing out the darkness inside 'Cause nobody can save me Been searching somewhere out there For what's been missing right here (I wanna fall wide awake now) I've been searching somewhere out there For what's been missing right here I wanna fall wide awake now Tell me it's alright Tell me I'm forgiven tonight And only I can save me now I'm holding up a light Chasing out the darkness inside And I don't wanna let you down But I don't want to let you Been searching somewhere out there For what's been missing right here"""
80,minutes to midnight   ,"""i'm tired of being what you want me to be feeling so faithless lost under the surface i don't know what you're expecting of me put under the pressure of walking in your shoes [caught in the undertow / just caught in the undertow] every step that i take is another mistake to you"", ""i've become so numb i can't feel you there become so tired so much more aware i'm becoming this all i want to do is be more like me and be less like you"", ""can't you see that you're smothering me holding too tightly afraid to lose control cause everything that you thought i would be has fallen apart right in front of you"", ""[caught in the undertow / just caught in the undertow] every step that i take is another mistake to you [caught in the undertow / just caught in the undertow] and every second i waste is more than i can take"", ""but i know i may end up failing too but i know you were just like me with someone disappointed in you"""
81,giving in   ,"""Will you, walk me to the edge again? Shaking, lonely, and I am drinking again Woke up tonight and no one's here with me I'm givin in to you"", ""Take me under I'm givin in to you I'm dying tonight I'm givin in to you Watch me crumble I'm givin in to you I'm crying tonight I'm givin in to you"", ""Caught up, in life Losing all my friends Family has tried, to heal all my addictions Tragic it seems, to be alone again I'm givin in ... to you"", ""Take me under I'm givin in to you I'm dying tonight I'm givin in to you Watch me crumble I'm givin in to you I'm crying tonight I'm givin in to you"", ""I look forward, to dying tonight Drink till i'm myself, life's harder every day The stress has got me I'm givin in givin in givin in now!"", ""Take me under (I'm killing all the pain) I'm dying tonight (I'm sick of all this days) Watch me crumble (I'm killing all the pain) I'm crying tonight"", ""I'm givin in to you Take me under I'm givin in to you I'm dying tonight I'm givin in to you Take me under I'm givin in to you I'm dying tonight I'm giving in to you"""
82,big pimpin papercut   ,"""Hahahaha."", ""Wasting your talent, Randy Yeah, ready? It's like I'm paranoid lookin' over my back"", ""It's like a whirlwind inside of my head"", ""It's like I can't stop what I'm hearing within It's like the face inside is right Why does it feel like night today? Something in here's not right today Why am I so uptight today? Paranoia's all I got left I don't know what stressed me first Or how the pressure was fed But I know just what it feels like To have a voice in the back of my head It's like a face that I hold inside Face that awakes when I close my eyes Face watches every time they lie Face that laughs every time they fall"", ""And watches everything So, you know that when it's time to sink or swim"", ""That the face inside is hearing me"", ""Right underneath my skin It's like I'm paranoid lookin' over my back It's like a whirlwind inside of my head"", ""It's like I can't stop what I'm hearing within It's like the face inside is right You know I thug 'em, fuck 'em, love 'em, leave 'em 'Cause I don't fuckin' need 'em Take 'em out the hood, keep 'em lookin' good But I don't fuckin' feed 'em First time they fuss I'm breezin' Talkin' 'bout, \""What's the reasons?\"" I'm a pimp in every sense of the word, bitch Better trust than believe 'em In the cut where I keep 'em 'Til I need a nut, 'til I need to beat the guts Then it's, 'Beep beep' and I'm pickin' em up Let 'em play with the dick in the truck Many chicks wanna put Jigga fist in cuffs Divorce him and split his bucks Just because you got good head, I'ma break bread So you can be livin' it up? Shit, I parts with nothin', y'all be frontin' Me give my heart to a woman?"", ""Not for nothin', never happen I'll be forever mackin' Heart cold as assassins I got no passion, I got no patience"", ""And I hate waitin' Hoe, get yo' ass in And let's ride, check 'em out now Ride, yeah"", ""And let's ride, check 'em out now Ride, yeah We doin' big pimpin', we spendin' G's Check 'em out now Big pimpin' on B L A D's We doin' big pimpin up in NYC It's just that Jigga Man, Pimp C and B U N B Yo, yo, yo, big pimpin', spendin' G's We doin' big pimpin' on B L A D's We doin' big pimpin' up in NYC It's just that Jigga Man, Pimp C and B U N B"""
83,empty spaces   ,"""I am not a pattern that we follow The pill that I'm on is a tough one to swallow I'm not a criminal not a role model Not a born leader I'm a tough act to follow I am not the fortune and the fame Or the same person telling you to forfeit the game I came in the ring like a dog on a chain And found out the underbelly's sicker than it seems And it seems ugly but it can get worse Because even a blueprint is a gift and a curse Because once you get a theory of how the thing works Everybody wants the next thing to be like the first And I'm not a robot. I'm not a monkey I will not dance even if the beat's funky Opposite of lazy, far from a punk Stop talking and start trying to catch up motherfucker"", ""And all the people say Try and catch up motherfucker"", ""Pac said money changes situation Big said it increase the complication Kane said don't step I ain't the one Chuck said an Uzi weighs a motherfucking tone And I'm just a student of the game that they taught me Rocking every stage and every place that they brought me I'm awfully underrated but pay me to correct it And so it ain't mistaken I'm gonna state it for record I am the opposite of where I got this A weak opposite, a slack sending them A heat sending them A crack closest to a peak Far from a punk Ya'll better start trying to catch up motherfucker"", ""And all the people say Try and catch up motherfucker"", ""But when they come for me Come for me, I'll be gone But when they come for me Come for me, I'll be gone But when they come for me Come for me, I'll be gone"", ""And all the people say Try to catch up motherfucker And all the people say Try to catch up motherfucker"""
84,the morning after   ,"""Morning After"", ""Caught up against the war again Time to chill in the bar again Never seize to amaze in minds So I just sleep sleep sleep please don't"", ""Wake me till the morning after Wake me till the morning after"", ""Cut my peace by the flower again Lick my wounds like a dove again Is that a light at the end of the tunnel That I see I see please let it be but don't"", ""Wake me till the morning after Wake me till the morning after Wake me till the morning after"", ""Oh I'm so tired there has got to be an end to the pain I feel when I'm awake and alive alive alive alive and not dreamin'"", ""Caught up against the war again Time to chill in the bar again Is that a light at the end of the tunnel That I see I see please let it be but don't"", ""Wake me till the morning after Wake me till the morning after Wake me till the morning after"", ""Oh I'm so tired there has got to be an end to the pain I feel when I'm Awake and alive alive alive Alive and not dreamin'"", ""kick_ass 2003"""
85,asbestos   ,"""Don't start with the ugly part Don't end with the things that will make them want to walk away Tune in at the den again, Another price ain't cheap but somebody's gonna have to pay Oh yes, you can only guess, what it is, what it was Or remember what I had in mind Shotgunning on a joy ride, coming down the block, half-cocked nearly half the time Give it back, give it back, give it back, sing it One time for the words divine and Two times for the things that you hope you never have to say Three seams in a dead man's dream and the girls tell the boys that they better fucking run away Live it up, won't you give it up, Turn it up, put it out, let it ride with the other lie Shotgunning on a joy ride, coming down the block, half-cocked nearly all the time Give it back, give it back, give it back, sing it"""
